TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-059358-01-c.csv,,,,,,,,,,,,,,,,,,,
DATE: 08/04/2021,,,,,,,,,,,,,,,,,,,
DESIGN: 02_059358c_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: C:\tmp\20_059358c\worklib\02_059358c_top\bom\bom.callouts,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
72,2,E010034,RES SMD 3.3K Ohm 1% 1/10W 0402 AEC-Q200, 3.3K,R0402,1,50V,1/10W,"R41,R43",PANASONIC, ERJ-2RKF3301X,REL,N/A,N/A,N/A,N/A,7007123,?,?
73,2,E003668,RES SMD 100 Ohm 1% 1/10W 0603 AEC-Q200,100,R0603,1,N/A,1/10W,"R42,R54",PANASONIC, ERJ-3EKF1000V,REL,A003-0032-003,41816DG308,FEC 911-112,1514_CAB3,7005700,?,?
74,1,E016329,RES SMD 100 Ohm 1% 1/10W 0402 AEC-Q200, 100R,R0402,1,N/A,1/10W,R44,PANASONIC,ERJ-2RKF1000X,REL,N/A,N/A,N/A,N/A,N/A,?,?
76,1,E018645,RES SMD 3.9 Ohm 5% 1/10W 0402 AEC-Q200,3.9,R0402,5,N/A,1/10W,R46,PANASONIC, ERJ-2GEJ3R9X,REL,N/A,N/A,N/A,N/A,7007154,?,?
77,1,E017860,RES SMD 4.7K Ohm 1% 1/10W 0603 AEC-Q200, 4.7K,R0603,1,75V,1/10W,R47,VISHAY, CRCW06034K70FKEA,REL,N/A,N/A,N/A,N/A,7007532,?,?
78,1,E017801,RES SMD 50 Ohm 1% 1/10W 0603 AEC-Q200,50,R0603,1,75V,1/10W,R48,VISHAY, CRCW060350R0FKEA,REL,N/A,N/A,N/A,N/A,7007891,?,?
80,1,E003671,RES SMD 10K Ohm 1% 1/10W 0603 AEC-Q200, 10K,R0603,1,N/A,1/10W,R5,PANASONIC, ERJ-3EKF1002V,REL,A003-0032-006,N/A,FEC 911-355,1517_CAB3,7000401,?,?
81,2,E028078,RES SMD 2.7K Ohm 1% 1/10W 0603, 2.7K,R0603,1,N/A,1/10W,"R50,R51",YAGEO, RC0603FR-072K7L,REL,N/A,N/A,N/A,N/A,N/A,?,?
82,2,E003953,RES SMD 1K Ohm 0.1% 1/10W 0603 AEC-Q200 HIGH RELIABILITY, 1K,R0603,0.1,N/A,1/10W,"R53,R55",PANASONIC, ERA-3AEB102V,REL,A003-0064-001,41816JH448,N/A,N/A,7006418,?,?
83,1,E025328,RES SMD 1.62K Ohm 1% 1/10W 0402 AEC-Q200, 1.62K,R0402,1,N/A,1/10W,R69,PANASONIC, ERJ-2RKF1621X,REL,N/A,N/A,N/A,N/A,N/A,?,?
